,w,r,v,noise,alpha
NRMSE,0.4379860022452096,0.09799307683412178,0.3424213811389111,0.6598019989232835,0.605135318312024
Log-gamma,-inf,-inf,-inf,-inf,-inf
ECE,0.3766666666666667,0.269561403508772,0.351140350877193,0.3916666666666667,0.395
Post. Contraction,0.9640712150365398,0.996637393595847,0.9666184728099348,0.9436799729013543,0.947225514490035
