,w,r,v,noise,alpha
NRMSE,0.23740841594650025,0.057630897339212,0.15739432707060586,0.41038964356348473,0.9666505842577985
Log-gamma,3.052739465588631,-0.13111319550447734,3.602196690453199,4.340342666989151,1.7907314089490087
ECE,0.02692982456140347,0.06078947368421056,0.01394736842105259,0.009824561403508791,0.015438596491228113
Post. Contraction,0.9354318308237154,0.996988328664574,0.9757719588417674,0.8280789076721935,0.09441741063126918
