,w,r,v,noise,alpha
NRMSE,0.2704317617127361,0.08389732694038281,0.2953104924639102,0.6236667020902547,0.5883200783310332
Log-gamma,-inf,-inf,-inf,-inf,-inf
ECE,0.33000000000000007,0.2328947368421053,0.3550000000000001,0.40666666666666673,0.385
Post. Contraction,0.979776223338205,0.9974606922532575,0.9796278437461156,0.9489465255714477,0.952975887332094
