,w,r,v,noise
NRMSE,0.5556587838033482,0.1489300560519973,0.5107312427575086,0.6465712456884627
Log-gamma,-inf,-inf,-inf,-inf
ECE,0.4050000000000001,0.2612280701754386,0.40333333333333343,0.3766666666666667
Post. Contraction,0.9650268740860812,0.9925062702797064,0.9706595497784911,0.9471049838888013
