,w,r,v,noise
NRMSE,0.7063853880454452,0.053151626029327215,0.27607429258925303,0.8442752982338024
Log-gamma,1.7447352961591107,0.7020954389650642,2.9395795661847477,2.6664658763767193
ECE,0.03859649122807016,0.05307017543859649,0.008859649122807012,0.009649122807017574
Post. Contraction,0.5217302461193776,0.9973941290087454,0.9172757783726699,0.2685305632294909
