,w,r,v,noise
NRMSE,0.6567760670904808,0.09821575566853888,0.25010889962278937,1.0208198875245693
Log-gamma,-6.308020779942479,-inf,-17.184772747533096,4.321905124022052
ECE,0.01614035087719301,0.007192982456140418,0.025438596491228066,0.009912280701754317
Post. Contraction,0.5678390796898798,0.9933999911820001,0.93952299751013,0.0
