,w,r,v,noise
NRMSE,0.3331658387701005,0.05474714600824509,0.28901219547525414,0.6752419676807233
Log-gamma,-inf,-inf,-inf,-inf
ECE,0.3933333333333334,0.20956140350877195,0.37500000000000006,0.41166666666666674
Post. Contraction,0.9687233352622089,0.9988168043743777,0.976669408346236,0.9344945303300078
