,w,r,v,noise
NRMSE,0.5258027231123403,0.07778195834950472,0.48463559153911273,0.5986173493286628
Log-gamma,-inf,-inf,-inf,-inf
ECE,0.3966666666666667,0.2128947368421053,0.4016666666666667,0.4133333333333334
Post. Contraction,0.9599855004095915,0.9978509576802872,0.9651521635291932,0.9498994378585803
