,w,v,noise
NRMSE,0.17948346986979558,0.17137667217962024,0.3552704410211391
Log-gamma,1.779173048910019,1.850227637696893,0.9939717644788938
ECE,0.01298245614035088,0.02131578947368419,0.01508771929824565
Post. Contraction,0.9705446926758315,0.968920040633084,0.881318772240419
