w,r,v,noise
0.11037373540584466,0.16465409065643874,0.02523179772835453,0.11810296377126467
-inf,1.9960851713170376,-128.6929690288899,-3.7569398487869776
0.06324561403508774,0.013771929824561411,0.059649122807017556,0.052807017543859636
0.9747561804658513,0.18543013402301833,0.9963842996596792,0.9789166070551267
