,w,r,v,noise
NRMSE,0.4412494495485856,0.43791647103657894,0.2707896314644309,0.6611655451292446
Log-gamma,-inf,-inf,-inf,-inf
ECE,0.37833333333333335,0.41333333333333344,0.31833333333333336,0.40333333333333343
Post. Contraction,0.9678037271575097,0.9778879410414344,0.9811962357859306,0.9480469500674666
