,w,v,noise
NRMSE,0.3984072059829189,0.2253983454643555,0.6356247051144623
Log-gamma,-inf,-inf,-inf
ECE,0.3933333333333334,0.4,0.4133333333333334
Post. Contraction,0.97850030960299,0.9901638006529145,0.9597276621153148
