timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZ;targetId;targetName;distanceToTarget
2.999034;0;0;0.06736971;6;-1.882931;4.764616;-0.7627848;0.6466522;2;Violet;16.82536
2.999034;0;0;0.06736971;7;1.263721;0.4718962;0.6706938;0.7417341;7;Brick;20.03668
2.999034;0;0;0.06736971;8;-0.38868;-4.084033;-0.8259587;-0.5637305;3;Forest;18.04136
2.999034;0;0;0.06736971;9;-3.698272;-1.97986;-0.6095408;-0.7927544;3;Forest;17.35252
2.999034;0;0;0.06736971;10;-2.763169;0.3143911;-0.6063077;0.79523;2;Violet;18.99135
2.999034;0;0;0.06736971;11;-1.750091;-2.529454;-0.7139852;-0.7001606;3;Forest;18.16018
2.999034;0;0;0.06736971;12;-3.878414;-2.372476;-0.6598235;-0.7514203;3;Forest;16.92959
2.999034;0;0;0.06736971;13;-1.255647;-1.662056;-0.747752;-0.6639779;3;Forest;19.13598
2.999034;0;0;0.06736971;14;-2.729506;0.4085917;-0.6110067;0.7916253;2;Violet;18.94731
3.027021;0;0;0.06736971;0;-2.263179;2.66643;-0.68896;0.7247992;2;Violet;17.76214
3.027021;0;0;0.06736971;1;2.387718;2.874977;0.7070654;0.707148;7;Brick;17.47742
3.027021;0;0;0.06736971;2;1.384039;-2.958212;0.7837514;-0.6210744;6;GoldenRod;18.27221
3.027021;0;0;0.06736971;3;0.1640654;4.660216;0.7836448;0.6212088;7;Brick;17.83996
3.027021;0;0;0.06736971;4;-1.481889;-1.423788;-0.6972479;-0.7168299;3;Forest;19.16685
3.027021;0;0;0.06736971;5;3.139219;-1.70899;0.7117587;-0.7024238;6;GoldenRod;17.74178
3.027021;0;0;0.06736971;6;-1.882931;4.764616;-0.7732387;0.6341147;2;Violet;16.82536
3.027021;0;0;0.06736971;7;1.263721;0.4718962;0.6522567;0.757998;7;Brick;20.03668
3.027021;0;0;0.06736971;8;-0.38868;-4.084033;-0.8262784;-0.5632616;3;Forest;18.04136
3.027021;0;0;0.06736971;9;-3.698272;-1.97986;-0.6870829;-0.7265787;3;Forest;17.35252
3.027021;0;0;0.06736971;10;-2.763169;0.3143911;-0.6048154;0.7963655;2;Violet;18.99135
3.027021;0;0;0.06736971;11;-1.750091;-2.529454;-0.7377393;-0.6750855;3;Forest;18.16018
3.027021;0;0;0.06736971;12;-3.878414;-2.372476;-0.6663232;-0.7456628;3;Forest;16.92959
