timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
2.098128;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
2.098128;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
2.098128;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
2.098128;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
2.098128;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
2.098128;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
2.123478;0;0;6.205843;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
2.123478;0;0;6.205843;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
2.123478;0;0;6.205843;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
2.123478;0;0;6.205843;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
2.123478;0;0;6.205843;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
2.123478;0;0;6.205843;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
2.123478;0;0;6.205843;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
2.123478;0;0;6.205843;7;Brick;16.14481;13.79656;6.990315;21.23676;1
2.150899;0;0;6.206728;0;Greystone;2.319254;29.92693;7.776639;30.01666;0
2.150899;0;0;6.206728;1;TerraCotta;29.92693;-2.319245;6.205843;30.01666;0
2.150899;0;0;6.206728;2;Violet;-13.8115;16.13203;8.562037;21.23676;4
2.150899;0;0;6.206728;3;Forest;-16.13204;-13.8115;3.849648;21.23676;4
2.150899;0;0;6.206728;4;Lake;-29.92693;2.319264;9.347435;30.01666;0
2.150899;0;0;6.206728;5;Ivy;-2.31925;-29.92693;4.635046;30.01666;0
2.150899;0;0;6.206728;6;GoldenRod;13.8115;-16.13204;5.420444;21.23676;2
2.150899;0;0;6.206728;7;Brick;16.13203;13.8115;6.991241;21.23676;1
2.172577;0;0;6.20912;0;Greystone;2.292768;29.92897;7.777524;30.01666;0
2.172577;0;0;6.20912;1;TerraCotta;29.92897;-2.292773;6.206728;30.01666;0
2.172577;0;0;6.20912;2;Violet;-13.82576;16.11982;8.562922;21.23676;4
2.172577;0;0;6.20912;3;Forest;-16.11981;-13.82576;3.850533;21.23676;4
2.172577;0;0;6.20912;4;Lake;-29.92897;2.292777;9.34832;30.01666;0
2.172577;0;0;6.20912;5;Ivy;-2.292778;-29.92897;4.635931;30.01666;0
2.172577;0;0;6.20912;6;GoldenRod;13.82577;-16.11981;5.421329;21.23676;2
2.172577;0;0;6.20912;7;Brick;16.11981;13.82576;6.992126;21.23676;1
2.195866;0;0;6.21139;0;Greystone;2.221162;29.93437;7.779916;30.01666;0
2.195866;0;0;6.21139;1;TerraCotta;29.93437;-2.221153;6.20912;30.01666;0
2.195866;0;0;6.21139;2;Violet;-13.86429;16.08669;8.565314;21.23676;4
2.195866;0;0;6.21139;3;Forest;-16.08669;-13.86429;3.852926;21.23676;4
2.195866;0;0;6.21139;4;Lake;-29.93437;2.221158;9.350713;30.01666;0
2.195866;0;0;6.21139;5;Ivy;-2.221158;-29.93437;4.638324;30.01666;0
