,w,r,v,noise
NRMSE,0.3392528456339632,0.05512990659471992,0.1964513832513778,0.36344731171841144
Log-gamma,4.272499906087152,-1.9001856759527596,4.631872329695217,-1.2425921861928317
ECE,0.013245614035087765,0.05070175438596489,0.009473684210526329,0.03149122807017549
Post. Contraction,0.8795738550469234,0.9971485501482498,0.9633069884892513,0.8708931927632281
