,w,r,v,noise
NRMSE,0.48271434809914476,0.08630074141509984,0.3869526184351163,0.5824212952022934
Log-gamma,-inf,-inf,-inf,-inf
ECE,0.3916666666666667,0.26122807017543864,0.35000000000000003,0.38
Post. Contraction,0.9679065920835672,0.9975131029493258,0.9747345194319849,0.9510183709397653
