,w,r,v,noise
NRMSE,0.2895927537336336,0.07721003108776997,0.21100890055794214,0.5095797127007292
Log-gamma,0.1791960481831598,-11.393720679333256,1.1461272447289936,1.3046646782118347
ECE,0.026403508771929804,0.06859649122807018,0.04622807017543856,0.005877192982456161
Post. Contraction,0.9161638282059632,0.9937702832545119,0.9543744520110171,0.7316499080520709
