,w,r,v,noise
NRMSE,0.22174761511440952,0.05939530688192604,0.17259990514657475,0.398810933278744
Log-gamma,3.014755340192674,0.23848794183548117,-1.166891866177373,3.206765734674803
ECE,0.004035087719298239,0.020175438596491208,0.027456140350877234,0.007192982456140366
Post. Contraction,0.9533322999747795,0.9964605932403502,0.969714252769507,0.8485466143400142
