,mu_w,r,v,noise,sigma_w
NRMSE,0.5264856366032262,0.06096371580391664,0.302771832456406,0.9478829868617744,0.9505752303371847
Log-gamma,1.1359346972170523,-2.6999243128525467,-0.0011408182055902864,1.0987718074161976,3.053480582706474
ECE,0.009561403508771923,0.02824561403508774,0.02307017543859649,0.009035087719298257,0.033859649122807034
Post. Contraction,0.7637321447258542,0.9970257955131068,0.9069222789192526,0.08112697132331742,0.09213030956976687
