,w,r,v,noise
NRMSE,0.34102927874075417,0.05849010108638927,0.19763427817167206,0.4448975738253266
Log-gamma,3.2535422339422926,-1.602749497840816,2.1713232204761304,3.676518082397534
ECE,0.008245614035087698,0.030877192982456114,0.016315789473684172,0.005964912280701739
Post. Contraction,0.8879419659060717,0.9966645223505377,0.960354154441261,0.7995081347477002
