,w,r,v,noise
NRMSE,0.29080674135998236,0.056248827524192864,0.20454139455511477,0.5619286625394598
Log-gamma,3.6170592784175613,2.7170032050318347,1.583143693873763,4.76027564767586
ECE,0.009649122807017546,0.04508771929824562,0.017105263157894735,0.01315789473684207
Post. Contraction,0.9184920601290376,0.9973781460126319,0.9602304810321944,0.6921854716375806
