,w,r,v,noise,kappa
NRMSE,0.261656326246998,0.056002286053643796,0.15267083246940769,0.6119373037233186,0.671990612642916
Log-gamma,4.385091044019026,0.0017971343548797332,3.3277673678399737,2.9312239387848584,1.31019825854416
ECE,0.018684210526315817,0.05596491228070172,0.01859649122807014,0.013157894736842035,0.020175438596491208
Post. Contraction,0.9339056865145494,0.9972574268105627,0.9743543195612547,0.631676131653914,0.6168720687806887
