timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZtargetId;targetName;targetX;targetZ;targetAngle;distanceToRoom;distanceToAgent;LookedAt;targetAttentionCount
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;2;Violet;-17.28386;12.33969;2.52157;21.23676;18.96855;0;3
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;24.21269;0;2
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;4;Lake;-29.60713;-4.941433;3.306968;30.01666;30.52428;0;0
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;33.77539;0;0
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;23.8506;0;3
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;7;Brick;12.33969;17.28386;0.9507739;21.23676;18.50412;1;4
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;0;Greystone;-4.941432;29.60713;1.736172;30.01666;31.18529;0;0
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;27.49508;0;0
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;2;Violet;-17.28386;12.33969;2.52157;21.23676;23.7871;0;3
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;22.37986;0;2
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;4;Lake;-29.60713;-4.941433;3.306968;30.01666;32.54428;0;0
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;29.02735;0;0
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;18.68911;1;3
2.538466;0;0;0.1653758;5;2.670042;-0.652143;0.7045256;-0.7096784;7;Brick;12.33969;17.28386;0.9507739;21.23676;20.35315;0;4
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;0;Greystone;-4.941432;29.60713;1.736172;30.01666;29.28934;0;0
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;26.66123;0;0
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;2;Violet;-17.28386;12.33969;2.52157;21.23676;23.14278;0;3
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;24.28557;0;2
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;4;Lake;-29.60713;-4.941433;3.306968;30.01666;33.36632;0;0
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;31.08483;0;0
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;19.71151;0;3
2.538466;0;0;0.1653758;6;3.159612;1.443177;0.6504896;0.759515;7;Brick;12.33969;17.28386;0.9507739;21.23676;18.28506;1;4
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;0;Greystone;-4.941432;29.60713;1.736172;30.01666;33.96421;0;0
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;29.53005;0;0
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;2;Violet;-17.28386;12.33969;2.52157;21.23676;24.63667;0;3
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;19.22477;0;2
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;4;Lake;-29.60713;-4.941433;3.306968;30.01666;30.98973;0;0
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;26.05417;0;0
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;18.03945;1;3
2.538466;0;0;0.1653758;7;1.377406;-3.781068;0.823226;-0.5677136;7;Brick;12.33969;17.28386;0.9507739;21.23676;23.72332;0;4
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;0;Greystone;-4.941432;29.60713;1.736172;30.01666;35.28969;0;0
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;27.56565;0;0
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;2;Violet;-17.28386;12.33969;2.52157;21.23676;26.98159;0;3
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;20.44265;0;2
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;4;Lake;-29.60713;-4.941433;3.306968;30.01666;33.32642;0;0
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;25.00307;0;0
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;15.57271;1;3
2.538466;0;0;0.1653758;8;3.734166;-4.616666;0.8042465;-0.5942955;7;Brick;12.33969;17.28386;0.9507739;21.23676;23.50773;0;4
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;0;Greystone;-4.941432;29.60713;1.736172;30.01666;30.26956;0;0
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;33.42212;0;0
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;2;Violet;-17.28386;12.33969;2.52157;21.23676;19.00843;0;3
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;18.88889;1;2
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;4;Lake;-29.60713;-4.941433;3.306968;30.01666;26.57808;0;0
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;30.11952;0;0
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;23.7089;0;3
2.538466;0;0;0.1653758;9;-3.362912;-0.6378212;-0.5866401;-0.8098475;7;Brick;12.33969;17.28386;0.9507739;21.23676;23.80425;0;4
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;0;Greystone;-4.941432;29.60713;1.736172;30.01666;26.60692;0;0
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;32.51284;0;0
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;2;Violet;-17.28386;12.33969;2.52157;21.23676;17.11837;1;3
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;22.42159;0;2
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;4;Lake;-29.60713;-4.941433;3.306968;30.01666;27.89533;0;0
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;33.57537;0;0
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;25.34157;0;3
2.538466;0;0;0.1653758;10;-2.868073;3.064476;-0.7035166;0.7106786;7;Brick;12.33969;17.28386;0.9507739;21.23676;20.79678;0;4
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;0;Greystone;-4.941432;29.60713;1.736172;30.01666;29.63797;0;0
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;30.29764;0;0
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;2;Violet;-17.28386;12.33969;2.52157;21.23676;20.74731;1;3
