timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
2.298887;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.298887;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.298887;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.298887;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.298887;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.317706;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.317706;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.317706;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.317706;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.317706;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.317706;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.317706;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.317706;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.337676;-2.846403E-23;3.129239E-16;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.337676;-2.846403E-23;3.129239E-16;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.337676;-2.846403E-23;3.129239E-16;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.337676;-2.846403E-23;3.129239E-16;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.337676;-2.846403E-23;3.129239E-16;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.337676;-2.846403E-23;3.129239E-16;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.337676;-2.846403E-23;3.129239E-16;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.337676;-2.846403E-23;3.129239E-16;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.371495;-7.986071E-05;0.04575677;6.28144;0;Greystone;0.05238442;30.01345;7.852236;30.01349;0
2.371495;-7.986071E-05;0.04575677;6.28144;1;TerraCotta;30.01345;-0.05238931;6.28144;30.01349;0
2.371495;-7.986071E-05;0.04575677;6.28144;2;Violet;-14.98726;15.03967;8.637634;21.23228;5
2.371495;-7.986071E-05;0.04575677;6.28144;3;Forest;-15.03967;-14.98726;3.925245;21.23228;4
2.371495;-7.986071E-05;0.04575677;6.28144;4;Lake;-30.01345;0.05238478;3.139847;30.01349;0
2.371495;-7.986071E-05;0.04575677;6.28144;5;Ivy;-0.0523942;-30.01345;4.710643;30.01349;0
2.371495;-7.986071E-05;0.04575677;6.28144;6;GoldenRod;14.98726;-15.03967;5.496042;21.23228;2
2.371495;-7.986071E-05;0.04575677;6.28144;7;Brick;15.03968;14.98726;7.066838;21.23228;3
2.390897;-0.000143084;0.081981;6.28144;0;Greystone;0.05239033;29.96771;7.852233;29.96776;0
2.390897;-0.000143084;0.081981;6.28144;1;TerraCotta;30.01345;-0.09755678;6.279935;30.01361;0
2.390897;-0.000143084;0.081981;6.28144;2;Violet;-14.9873;14.99392;8.639159;21.19992;5
2.390897;-0.000143084;0.081981;6.28144;3;Forest;-15.03963;-15.03302;3.926771;21.26458;4
2.390897;-0.000143084;0.081981;6.28144;4;Lake;-30.01345;0.006043996;3.141391;30.01345;0
2.390897;-0.000143084;0.081981;6.28144;5;Ivy;-0.05238804;-30.05919;4.710646;30.05923;0
2.390897;-0.000143084;0.081981;6.28144;6;GoldenRod;14.98722;-15.08543;5.494521;21.26469;2
2.390897;-0.000143084;0.081981;6.28144;7;Brick;15.03971;14.94151;7.065308;21.20004;3
2.414298;-0.0002397159;0.137347;6.28144;0;Greystone;0.05238412;29.9315;7.852232;29.93155;0
2.414298;-0.0002397159;0.137347;6.28144;1;TerraCotta;30.01344;-0.1346385;6.278699;30.01375;0
2.414298;-0.0002397159;0.137347;6.28144;2;Violet;-14.98733;14.9577;8.640369;21.17434;5
2.414298;-0.0002397159;0.137347;6.28144;3;Forest;-15.0396;-15.06924;3.927975;21.29018;4
2.414298;-0.0002397159;0.137347;6.28144;4;Lake;-30.01345;-0.0292053;3.142566;30.01346;0
2.414298;-0.0002397159;0.137347;6.28144;5;Ivy;-0.05239374;-30.09539;4.710648;30.09544;0
2.414298;-0.0002397159;0.137347;6.28144;6;GoldenRod;14.98718;-15.12166;5.493321;21.29038;2
2.414298;-0.0002397159;0.137347;6.28144;7;Brick;15.03975;14.90528;7.064093;21.17455;3
2.437138;-0.0003489015;0.1999056;6.28144;0;Greystone;0.05238699;29.87616;7.852228;29.87621;0
2.437138;-0.0003489015;0.1999056;6.28144;1;TerraCotta;30.01345;-0.1898683;6.276859;30.01405;0
2.437138;-0.0003489015;0.1999056;6.28144;2;Violet;-14.98738;14.90233;8.642225;21.1353;5
2.437138;-0.0003489015;0.1999056;6.28144;3;Forest;-15.03955;-15.12461;3.929811;21.32937;4
2.437138;-0.0003489015;0.1999056;6.28144;4;Lake;-30.01345;-0.08508488;3.144428;30.01357;0
2.437138;-0.0003489015;0.1999056;6.28144;5;Ivy;-0.05238944;-30.15073;4.710651;30.15078;0
2.437138;-0.0003489015;0.1999056;6.28144;6;GoldenRod;14.98714;-15.17702;5.491492;21.3297;2
2.437138;-0.0003489015;0.1999056;6.28144;7;Brick;15.0398;14.84991;7.062231;21.13564;3
2.475982;-0.0005678161;0.3253343;6.28144;0;Greystone;0.05239107;29.81363;7.852224;29.81368;0
2.475982;-0.0005678161;0.3253343;6.28144;1;TerraCotta;30.01345;-0.2522557;6.274781;30.01451;0
2.475982;-0.0005678161;0.3253343;6.28144;2;Violet;-14.98745;14.83977;8.644331;21.09128;6
2.475982;-0.0005678161;0.3253343;6.28144;3;Forest;-15.0395;-15.18717;3.931876;21.37373;3
2.475982;-0.0005678161;0.3253343;6.28144;4;Lake;-30.01345;-0.1474769;3.146506;30.01381;0
2.475982;-0.0005678161;0.3253343;6.28144;5;Ivy;-0.05239725;-30.21326;4.710655;30.21331;0
2.475982;-0.0005678161;0.3253343;6.28144;6;GoldenRod;14.98708;-15.23958;5.489434;21.37422;2
2.475982;-0.0005678161;0.3253343;6.28144;7;Brick;15.03986;14.78735;7.060118;21.09178;3
2.497744;-0.0006968386;0.3992587;6.28144;0;Greystone;0.05238311;29.68826;7.852217;29.68831;0
2.497744;-0.0006968386;0.3992587;6.28144;1;TerraCotta;30.01344;-0.3779678;6.270593;30.01583;0
2.497744;-0.0006968386;0.3992587;6.28144;2;Violet;-14.98756;14.71433;8.648579;21.0033;6
2.497744;-0.0006968386;0.3992587;6.28144;3;Forest;-15.03939;-15.31259;3.935992;21.46296;3
2.497744;-0.0006968386;0.3992587;6.28144;4;Lake;-30.01344;-0.2731886;3.150695;30.01469;0
2.497744;-0.0006968386;0.3992587;6.28144;5;Ivy;-0.05238321;-30.33864;4.710662;30.33868;0
2.497744;-0.0006968386;0.3992587;6.28144;6;GoldenRod;14.98697;-15.365;5.485333;21.46375;2
2.497744;-0.0006968386;0.3992587;6.28144;7;Brick;15.03997;14.66192;7.055856;21.00411;3
2.517704;-0.0008193583;0.4694572;6.28144;0;Greystone;0.05239394;29.61437;7.852212;29.61442;0
2.517704;-0.0008193583;0.4694572;6.28144;1;TerraCotta;30.01344;-0.4518867;6.26813;30.01685;0
2.517704;-0.0008193583;0.4694572;6.28144;2;Violet;-14.98762;14.64041;8.651098;20.95162;6
2.517704;-0.0008193583;0.4694572;6.28144;3;Forest;-15.03932;-15.38652;3.938402;21.51572;3
2.517704;-0.0008193583;0.4694572;6.28144;4;Lake;-30.01345;-0.3470941;3.153157;30.01545;0
2.517704;-0.0008193583;0.4694572;6.28144;5;Ivy;-0.05239478;-30.41253;4.710666;30.41258;0
2.517704;-0.0008193583;0.4694572;6.28144;6;GoldenRod;14.98691;-15.43892;5.482932;21.51669;2
2.517704;-0.0008193583;0.4694572;6.28144;7;Brick;15.04004;14.588;7.053328;20.95262;3
2.539601;-0.0009578207;0.5487903;6.28144;0;Greystone;0.05238251;29.5442;7.852209;29.54425;0
2.539601;-0.0009578207;0.5487903;6.28144;1;TerraCotta;30.01344;-0.5220889;6.265792;30.01798;0
2.539601;-0.0009578207;0.5487903;6.28144;2;Violet;-14.9877;14.5702;8.653503;20.90268;6
2.539601;-0.0009578207;0.5487903;6.28144;3;Forest;-15.03926;-15.45672;3.940679;21.56593;3
2.539601;-0.0009578207;0.5487903;6.28144;4;Lake;-30.01344;-0.4172892;3.155495;30.01635;0
2.539601;-0.0009578207;0.5487903;6.28144;5;Ivy;-0.05238485;-30.4827;4.71067;30.48274;0
2.539601;-0.0009578207;0.5487903;6.28144;6;GoldenRod;14.98685;-15.50912;5.480663;21.56707;2
2.539601;-0.0009578207;0.5487903;6.28144;7;Brick;15.0401;14.5178;7.050915;20.90385;3
2.559645;-0.001087222;0.6229315;6.28144;0;Greystone;0.05238242;29.46491;7.852204;29.46495;0
2.559645;-0.001087222;0.6229315;6.28144;1;TerraCotta;30.01344;-0.6015027;6.263147;30.01947;0
2.559645;-0.001087222;0.6229315;6.28144;2;Violet;-14.98776;14.49088;8.656234;20.84751;6
2.559645;-0.001087222;0.6229315;6.28144;3;Forest;-15.03919;-15.53604;3.943239;21.62281;3
2.559645;-0.001087222;0.6229315;6.28144;4;Lake;-30.01344;-0.4966007;3.158137;30.01755;0
2.559645;-0.001087222;0.6229315;6.28144;5;Ivy;-0.05238996;-30.562;4.710675;30.56204;0
2.559645;-0.001087222;0.6229315;6.28144;6;GoldenRod;14.98678;-15.58845;5.478111;21.62414;2
2.559645;-0.001087222;0.6229315;6.28144;7;Brick;15.04018;14.43846;7.048174;20.84888;3
2.586793;-0.001266378;0.7255805;6.28144;0;Greystone;0.05239082;29.3908;7.852199;29.39085;0
2.586793;-0.001266378;0.7255805;6.28144;1;TerraCotta;30.01344;-0.6755698;6.26068;30.02104;0
2.586793;-0.001266378;0.7255805;6.28144;2;Violet;-14.98784;14.41672;8.6588;20.79609;6
2.586793;-0.001266378;0.7255805;6.28144;3;Forest;-15.03912;-15.61019;3.945621;21.6761;3
2.586793;-0.001266378;0.7255805;6.28144;4;Lake;-30.01344;-0.5708294;3.160609;30.01887;0
2.586793;-0.001266378;0.7255805;6.28144;5;Ivy;-0.05238553;-30.63611;4.710679;30.63615;0
2.586793;-0.001266378;0.7255805;6.28144;6;GoldenRod;14.98671;-15.6626;5.475739;21.6776;2
2.586793;-0.001266378;0.7255805;6.28144;7;Brick;15.04024;14.36432;7.0456;20.79766;3
2.608841;-0.001413717;0.8099995;6.28144;0;Greystone;0.05238948;29.2882;7.852193;29.28825;0
2.608841;-0.001413717;0.8099995;6.28144;1;TerraCotta;30.01344;-0.7783296;6.257258;30.02353;0
