,w0,r,v,noise,tau
NRMSE,0.47337776932335685,0.05434510135231635,0.22116130050319704,0.5563305073354958,0.9784097074900029
Log-gamma,2.8001294506893943,-3.001650731503004,2.4067926250353215,1.8218688681502215,3.9484438673132463
ECE,0.017456140350877197,0.04754385964912278,0.018508771929824502,0.01438596491228071,0.03210526315789469
Post. Contraction,0.7994021259100197,0.9972663671603952,0.9528604475464042,0.6920242327052324,0.07640407707126223
