,w,r,v,noise
NRMSE,0.4030723091594114,0.09227981704412322,0.2959396201906863,0.6817697868742685
Log-gamma,-inf,-inf,-inf,-inf
ECE,0.3933333333333334,0.23456140350877197,0.3500000000000001,0.41500000000000004
Post. Contraction,0.9685440087175612,0.9959554566536182,0.9801230829814929,0.9416606271403383
