,w,r,v,noise
NRMSE,0.34660179128036567,0.0631015228785074,0.24989809694620188,0.6787409298215552
Log-gamma,2.395469521873494,-8.398519422865267,-2.439685955588436,-0.8675127634841917
ECE,0.011578947368421078,0.012631578947368428,0.02429824561403504,0.030175438596491244
Post. Contraction,0.8869390456291084,0.9965582892680385,0.9373455645843085,0.5220137511577858
