,w,r,v,noise,alpha
NRMSE,0.10750598493730532,0.07305514141953218,0.17847918335104018,0.5946117306184744,0.9585694207126602
Log-gamma,3.394237378726975,-2.7659307318701347,2.0095427536386583,2.126714215269328,3.1729749157508507
ECE,0.023070175438596477,0.03043859649122807,0.006491228070175492,0.033859649122807034,0.015438596491228078
Post. Contraction,0.9877011913879921,0.9952031291424244,0.9635076313049618,0.6894699038711317,0.02218793907821337
