,w,r,v,noise
NRMSE,0.3235347661499126,0.06349250778629689,0.21226156443529448,0.4158043461518548
Log-gamma,1.1627958910120826,-2.67555922617579,2.034270762992459,3.0527286244346796
ECE,0.007280701754385999,0.021666666666666612,0.008947368421052648,0.026403508771929804
Post. Contraction,0.9074374858163317,0.9964175600323228,0.9565529432301187,0.8320456386807747
