,w,r,v,noise
NRMSE,0.22169252671255577,0.04920472206343707,0.16051645269496834,0.43530601467253516
Log-gamma,2.3214804398901014,0.7620963405362193,0.3790424144471942,2.2449605594796758
ECE,0.024999999999999967,0.030701754385964924,0.012543859649122774,0.026140350877192964
Post. Contraction,0.9497853318990257,0.9978833759698522,0.9756305712298213,0.8204263748360211
